Bedrijfsnaam,Adress,PostCode,Lat,Long,Aantal_Zonnepaneel_googlemaps,Schatting_aantaal_werkende,oppervlakte_gebouw_m2,werkende_per_m2,Producten,Sector,uur_in_gebruik_dag,uur_in_gebruik_week,bezittingsgraad_dag_percentage,bezittingsgraad_week_percentage,gemiddelde_aardgasverbruik_[m3],gemiddelde_aardgasverbruik_koeling_[m3],gemiddelde_elektriciteitverbruik_[kwh],gemiddelde_elektriciteitverbruik_koeling_[kwh],prijs_aardgas_m3,prijs_kwh,wind_prijs_kwh
Sligro Amsterdam,Baldermoer,1046 BZ Amsterdam,52.397472,4.7828304,3669.0,77.0,51226.0,665.27,Groothandel in levensmiddelen,Vervoer en opslag / groothandel,11.0,66.0,45.8,39.3,358582.0,256130.0,8903079.0,3575575.0,1.29,0.32,0.07
Jansen Houtimport B.V.,Scharenburg 2,1046 BB Amsterdam,52.3952647,4.7790958,107.0,5.0,3382.5,676.5,Groothandel in hout,Groothandel,8.0,40.0,33.3,23.8,22663.0,23678.0,169125.0,471859.0,1.29,0.32,0.07
Wentzel B.V.,Scharenburg 2,1046 BB Amsterdam,52.3952647,4.7790958,107.0,20.0,3382.5,169.13,Non-ferro metalen,Groothandel,10.0,50.0,41.7,29.8,22663.0,23678.0,169125.0,471859.0,1.29,0.32,0.07
CWS Hygiene Amsterdam,Scharenburg 6,1046 BB Amsterdam,52.3950394,4.780715,0.0,325.0,2741.0,8.43,Hygiene producten B2B,Overige dienstverlening,9.0,45.0,37.5,26.8,29329.0,0.0,2741.0,0.0,1.29,0.32,0.07
Apollo Verhuizingen,Scharenburg 8,1046 BB Amsterdam,52.3955024,4.7816196,600.0,12.0,1808.0,150.67,Verhuizing en opslag,Vervoer en opslag,8.0,40.0,33.3,23.8,18894.0,1808.0,137589.0,505698.0,1.29,0.32,0.07
Bilal Chicken Centre B.V.,Scharenburg 10,1046 BB Amsterdam,52.3950987,4.7829561,0.0,9.0,3390.0,376.67,Voedselfabrikant,Groothandel,9.0,51.0,35.4,30.4,22713.0,23730.0,169500.0,472905.0,1.29,0.32,0.07
Swapfiets Amsterdam,Scharenburg 5,1046 BA Amsterdam,52.3959795,4.7807639,0.0,20.0,8460.0,423.0,Fiets magazijn,Verhuur en overige zakelijke diensten,8.0,40.0,33.3,23.8,89676.0,0.0,641268.0,0.0,1.29,0.32,0.07
Nipparts,Scharenburg 14,1046 BB Amsterdam,52.3950209,4.7841943,0.0,10.0,7970.5,797.05,Automaterialen winkel,Vervoer en opslag,9.0,45.0,37.5,26.8,60576.0,7971.0,515691.0,1753510.0,1.29,0.32,0.07
AP Logistics,Scharenburg 14,1046 BB Amsterdam,52.3950089,4.7841494,0.0,30.0,7970.5,265.68,Logistieke dienstverlening,Vervoer en opslag,24.0,168.0,100.0,100.0,84487.0,7971.0,515691.0,1753510.0,1.29,0.32,0.07
Amsterdam Freight Company,Slego 1a,1046 BM Amsterdam,52.3954842,4.7871249,0.0,33.0,3819.5,117.52,Logistieke dienstverlening,Vervoer en opslag,10.0,50.0,41.7,29.8,40869.0,3820.0,247122.0,770775.0,1.29,0.32,0.07
Peeters Global Logistics/ Amsterdam Warehouse Company,Slego 1a,1046 BM Amsterdam,52.3954842,4.7871249,0.0,130.0,3819.5,29.38,Logistieke dienstverlening,Vervoer en opslag,10.0,50.0,41.7,29.8,40869.0,3820.0,247122.0,770775.0,1.29,0.32,0.07
Social Database,Slego 1a,1046 BM Amsterdam,52.3954842,4.7871249,0.0,35.0,3819.5,109.13,Mediabedrijf,Informatie en communicatie ,10.0,50.0,41.7,29.8,40869.0,0.0,290664.0,0.0,1.29,0.32,0.07
Advion,Slego 1b,1046 BM Amsterdam,52.3954842,4.7871249,0.0,30.0,3819.5,127.32,Groothandel,Groothandel,9.0,42.5,35.4,25.3,22917.0,26737.0,190975.0,532820.0,1.29,0.32,0.07
Decorum Kantoormeubelen,Herwijk 12,1046 BC Amsterdam,52.3968939,4.7884167,0.0,60.0,9277.0,154.62,Meubelverhuur bedrijf,Groothandel,9.0,45.0,37.5,26.8,55662.0,55662.0,498175.0,1612343.0,1.29,0.32,0.07
Race Planet Amsterdam,Herwijk 10,1046 BC Amsterdam,52.3968939,4.7884167,0.0,120.0,9672.0,80.6,Evenementen en indoor speeltuin,"Cultuur ,sport en recreatie",10.0,66.5,39.6,39.6,101556.0,0.0,562910.0,0.0,1.29,0.32,0.07
Anker Amsterdam Spirits,Slego 2,1046 BM Amsterdam,52.3944819,4.7884396,627.0,100.0,7686.0,76.86,Dranken groothandel,Groothandel,8.0,40.0,33.3,23.8,46116.0,46116.0,412738.0,1335827.0,1.29,0.32,0.07
Scania Amsterdam,"Slego 4, Westpoort 4590",1046 BM Amsterdam,52.3944482,4.7899642,0.0,15.0,1869.0,124.6,Vrachtwagen dealer,Groothandel,9.0,54.0,37.5,32.1,13644.0,15326.0,88404.0,334364.0,1.29,0.32,0.07
PostNL Crossdock Amsterdam,Bornhout 5,1046 PP Amsterdam,52.3966339,4.7920799,0.0,45.0,11080.0,246.22,Post- en pakket bezorging,Vervoer en opslag,5.0,30.0,20.8,17.9,70912.0,11080.0,821028.0,2825400.0,1.29,0.32,0.07
Post NL SCB Amsterdam,Australiëhavenweg 100,1046 BP Amsterdam,52.3959336,4.7958211,1504.0,143.0,31074.0,217.3,Post- en pakket bezorging,Vervoer en opslag,24.0,168.0,100.0,100.0,77685.0,31074.0,2361624.0,8389980.0,1.29,0.32,0.07
Euromaster Amsterdam,Bornhout 11,1046 BE Amsterdam,52.3961764,4.7914864,0.0,700.0,1499.0,2.14,Vrachtwagen reparatie,Groothandel,9.0,54.0,37.5,32.1,10943.0,12292.0,70903.0,268171.0,1.29,0.32,0.07
Dronk bedrijfswagen onderdelen,Bornhout 13,1046 BE Amsterdam,52.3950795,4.7921568,0.0,100.0,2654.0,26.54,Bedrijfswagen reparatie,Groothandel,9.0,54.0,37.5,32.1,17782.0,18578.0,132700.0,370233.0,1.29,0.32,0.07
Skynet Worldwide Express,Bornhout 15,1046 BE Amsterdam,52.3950433,4.7938559,0.0,75.0,2400.0,32.0,Logistieke dienstverlening,Vervoer en opslag,9.0,45.0,37.5,26.8,17520.0,2400.0,182640.0,648000.0,1.29,0.32,0.07
Fietsendepot Gemeente Amsterdam,Bornhout 8,1046 BE Amsterdam,52.3950441,4.7919567,2067.0,5.0,16042.0,3208.4,Opslagbedrijf fietsen,Vervoer en opslag,5.0,27.0,18.8,16.1,105877.0,16042.0,1188712.0,4090710.0,1.29,0.32,0.07
Anamet Europe,Galwin 5,1046 AW Amsterdam,52.3970139,4.7996347,552.0,70.0,4591.0,65.59,Fabrikant leidingmateriaal,Industrie ,8.0,40.0,33.3,23.8,28464.0,4591.0,229550.0,640445.0,1.29,0.32,0.07
Gezamenlijke brandweer Amsterdam,Galwin 3,1046 AW Amsterdam,52.3903476,4.8000375,680.0,35.0,5755.0,164.43,Brandweer,Openbaar bestuur,24.0,168.0,100.0,100.0,60428.0,0.0,436229.0,0.0,1.29,0.32,0.07
Hulshoff Projectverhuizingen,Galwin 1,1046 AW Amsterdam,52.3952273,4.7900674,3100.0,50.0,1360.0,27.2,Verhuizing en opslag,Vervoer en opslag,9.0,45.0,37.5,26.8,8976.0,1360.0,103496.0,380392.0,1.29,0.32,0.07
Shell tankstation,Galwin 6,1043 XX Amsterdam,52.3962377,4.800937,0.0,20.0,101.0,5.05,Brandstoffen,Detailhandel,24.0,168.0,100.0,100.0,1717.0,0.0,10625.0,0.0,1.29,0.32,0.07
Truckwash 1 Amsterdam,Galwin 4,1046 AW Amsterdam,52.3952919,4.8007397,0.0,20.0,831.0,41.55,Vrachtauto wasstraat,Vervoer en opslag,10.0,57.0,39.6,33.9,7313.0,58669.0,202432.0,831.0,1.29,0.32,0.07
IGT Europe,Galwin 2,1046 AW Amsterdam,52.3954501,4.8016162,0.0,80.0,10150.0,126.88,Gaming,Assemblage speelautomaten,9.0,45.0,37.5,26.8,60900.0,0.0,10150.0,0.0,1.29,0.32,0.07
